Title,Score,Vote,Ranked,Popularity,Episodes,Status,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating
Hajime no Ippo: RisingFighting Spirit: Rising,8.60,139567,84,930,25,Finished Airing,"Oct 6, 2013 to Mar 30, 2014",Fall 2013,"['VAP', 'Kodansha', 'Nippon Television Network']","None found, add some","Madhouse,       MAPPA",Manga,22 min. per ep.,PG-13 - Teens 13 or older
Suzumiya Haruhi no ShoushitsuThe Disappearance of Haruhi Suzumiya,8.60,306862,85,348,1,Finished Airing,"Feb 6, 2010",,"['Kadokawa Shoten', 'Animation Do']","Funimation,       Bandai Entertainment",Kyoto Animation,Light novel,2 hr. 41 min.,PG-13 - Teens 13 or older
Mushishi Zoku Shou: Suzu no Shizuku,8.59,50189,89,1714,1,Finished Airing,"May 16, 2015",,"['Aniplex', 'Kodansha', 'Delfi Sound']","None found, add some",Artland,Manga,47 min.,PG-13 - Teens 13 or older
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3JoJo's Bizarre Adventure: Stone Ocean Part 3,8.58,121062,92,1267,14,Finished Airing,"Dec 1, 2022",,['Warner Bros. Japan'],"None found, add some",David Production,Manga,24 min. per ep.,R - 17+ (violence & profanity)
JoJo no Kimyou na Bouken Part 5: Ougon no KazeJoJo's Bizarre Adventure: Golden Wind,8.58,667422,91,153,39,Finished Airing,"Oct 6, 2018 to Jul 28, 2019",Fall 2018,['Warner Bros. Japan'],VIZ Media,David Production,Manga,23 min. per ep.,R - 17+ (violence & profanity)
Kenpuu Denki BerserkBerserk,8.58,343267,90,317,25,Finished Airing,"Oct 8, 1997 to Apr 1, 1998",Fall 1997,"['VAP', 'Hakusensha', 'Nippon Television Network']","None found, add some",OLM,Manga,23 min. per ep.,R+ - Mild Nudity
Pluto,8.57,40053,97,1855,8,Finished Airing,"Oct 26, 2023",,"['Genco', 'Tezuka Productions', 'NetEase']","None found, add some",Studio M2,Manga,1 hr. 1 min. per ep.,PG-13 - Teens 13 or older
Kizumonogatari II: Nekketsu-henKizumonogatari Part 2: Hot-Blooded,8.57,264651,93,503,1,Finished Airing,"Aug 19, 2016",,"['Aniplex', 'Kodansha']",Aniplex of America,Shaft,Light novel,1 hr. 4 min.,R - 17+ (violence & profanity)
Natsume Yuujinchou GoNatsume's Book of Friends Season 5,8.57,73764,94,1276,11,Finished Airing,"Oct 5, 2016 to Dec 21, 2016",Fall 2016,"['TV Tokyo', 'Aniplex', 'Nihon Ad Systems', 'Hakusensha']","None found, add some",Shuka,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Natsume Yuujinchou SanNatsume's Book of Friends Season 3,8.57,116539,95,942,13,Finished Airing,"Jul 5, 2011 to Sep 27, 2011",Summer 2011,"['Aniplex', 'Sakura Create']","NIS America, Inc.",Brain's Base,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Ookami Kodomo no Ame to YukiWolf Children,8.57,454059,96,224,1,Finished Airing,"Jul 21, 2012",,"['Madhouse', 'VAP', 'Dentsu', 'Yomiuri Telecasting', 'Kadokawa Shoten', 'TOHO', 'Hiroshima Television']",Funimation,Studio Chizu,Original,1 hr. 57 min.,PG-13 - Teens 13 or older
Tengen Toppa Gurren Lagann Movie 2: Lagann-henGurren Lagann The Movie: The Lights in the Sky are Stars,8.57,99764,98,1109,1,Finished Airing,"Apr 22, 2009",,['Aniplex'],Aniplex of America,Gainax,Original,2 hr. 5 min.,R+ - Mild Nudity
Spy x Family,8.56,902959,100,77,12,Finished Airing,"Apr 9, 2022 to Jun 25, 2022",Spring 2022,"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'TOHO animation', 'Shueisha']",Funimation,"Wit Studio,       CloverWorks",Manga,24 min. per ep.,PG-13 - Teens 13 or older
Yojouhan Shinwa TaikeiThe Tatami Galaxy,8.56,142906,101,497,11,Finished Airing,"Apr 23, 2010 to Jul 2, 2010",Spring 2010,"['Dentsu', 'Kadokawa Shoten', 'Fuji TV', 'TOHO', 'Asmik Ace', 'Tohokushinsha Film Corporation', 'Sony Music Entertainment', 'Fujipacific Music']",Funimation,Madhouse,Novel,22 min. per ep.,R - 17+ (violence & profanity)
Shouwa Genroku Rakugo ShinjuuShowa Genroku Rakugo Shinju,8.56,93162,99,821,13,Finished Airing,"Jan 9, 2016 to Apr 2, 2016",Winter 2016,"['Starchild Records', 'Mainichi Broadcasting System', 'Kodansha', 'DAX Production']","None found, add some",Studio Deen,Manga,26 min. per ep.,PG-13 - Teens 13 or older
Kimi no Suizou wo TabetaiI Want To Eat Your Pancreas,8.55,562079,106,161,1,Finished Airing,"Sep 1, 2018",,"['Aniplex', 'ABC Animation']",Aniplex of America,Studio VOLN,Novel,1 hr. 48 min.,PG-13 - Teens 13 or older
Nana,8.55,247210,107,309,47,Finished Airing,"Apr 5, 2006 to Mar 28, 2007",Spring 2006,"['VAP', 'Nippon Television Network', 'Shueisha']","VIZ Media,       Sentai Filmworks",Madhouse,Manga,23 min. per ep.,R+ - Mild Nudity
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi niNeon Genesis Evangelion: The End of Evangelion",8.55,609855,108,173,1,Finished Airing,"Jul 19, 1997",,"['TV Tokyo', 'Toei Animation', 'Kadokawa Shoten', 'Movic', 'Sega', 'TV Tokyo Music', 'King Records', 'Audio Tanaka']",GKIDS,"Gainax,       Production I.G",Original,1 hr. 26 min.,R+ - Mild Nudity
Shoujo☆Kageki Revue Starlight MovieRevue Starlight: The Movie,8.55,7620,109,4943,1,Finished Airing,"Jun 4, 2021",,['Bushiroad'],Sentai Filmworks,Kinema Citrus,Original,2 hr.,PG-13 - Teens 13 or older
Slam Dunk,8.55,133696,102,796,101,Finished Airing,"Oct 16, 1993 to Mar 23, 1996",Fall 1993,['TV Asahi'],Geneon Entertainment USA,Toei Animation,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Fate/Zero 2nd SeasonFate/Zero Season 2,8.55,702263,103,130,12,Finished Airing,"Apr 8, 2012 to Jun 24, 2012",Spring 2012,"['Aniplex', 'Nitroplus', 'Seikaisha', 'Notes']",Aniplex of America,ufotable,Light novel,24 min. per ep.,R - 17+ (violence & profanity)
Fruits Basket 2nd Season,8.55,252862,104,436,25,Finished Airing,"Apr 7, 2020 to Sep 22, 2020",Spring 2020,"['TV Tokyo', 'TV Osaka', 'Nihon Ad Systems', 'Hakusensha', 'Avex Pictures', 'TMS Music', '8PAN']",Funimation,TMS Entertainment,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Haikyuu!! To the Top Part 2Haikyu!! To the Top 2nd-cour,8.55,468098,105,231,12,Finished Airing,"Oct 3, 2020 to Dec 19, 2020",Fall 2020,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",Sentai Filmworks,Production I.G,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Perfect Blue,8.54,369328,110,283,1,Finished Airing,"Feb 28, 1998",,"['Rex Entertainment', 'ONIRO']",GKIDS,Madhouse,Novel,1 hr. 21 min.,R+ - Mild Nudity
Shingeki no KyojinAttack on Titan,8.54,2745016,111,1,25,Finished Airing,"Apr 7, 2013 to Sep 29, 2013",Spring 2013,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprises']",Funimation,Wit Studio,Manga,24 min. per ep.,R - 17+ (violence & profanity)
Zoku Natsume YuujinchouNatsume's Book of Friends Season 2,8.54,123829,112,959,13,Finished Airing,"Jan 6, 2009 to Mar 31, 2009",Winter 2009,"['Aniplex', 'Nihon Ad Systems']","NIS America, Inc.",Brain's Base,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Steins;Gate 0,8.53,417843,113,197,23,Finished Airing,"Apr 12, 2018 to Sep 27, 2018",Spring 2018,"['Frontier Works', 'Movic', 'Kadokawa']",Funimation,White Fox,Visual novel,23 min. per ep.,PG-13 - Teens 13 or older
Yuru Camp△ Season 2Laid-Back Camp Season 2,8.53,91671,114,1090,13,Finished Airing,"Jan 7, 2021 to Apr 1, 2021",Winter 2021,"['Half H.P Studio', 'MAGES.', 'DeNA']","None found, add some",C-Station,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Bakuman. 3rd SeasonBakuman. Season 3,8.53,192365,116,706,25,Finished Airing,"Oct 6, 2012 to Mar 30, 2013",Fall 2012,"['NHK', 'Shueisha']","None found, add some",J.C.Staff,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Chainsaw Man,8.53,769784,117,82,12,Finished Airing,"Oct 12, 2022 to Dec 28, 2022",Fall 2022,['dugout'],"None found, add some",MAPPA,Manga,24 min. per ep.,R - 17+ (violence & profanity)
Mushishi: HihamukageMushi-shi: The Shadow that Devours the Sun,8.53,66250,115,1600,1,Finished Airing,"Jan 4, 2014",,"['Aniplex', 'Kodansha', 'Delfi Sound']","None found, add some",Artland,Manga,45 min.,PG-13 - Teens 13 or older
Kara no Kyoukai Movie 5: Mujun RasenThe Garden of Sinners Chapter 5: Paradox Spiral,8.52,130708,121,996,1,Finished Airing,"Aug 16, 2008",,['Notes'],Aniplex of America,ufotable,Light novel,1 hr. 54 min.,R - 17+ (violence & profanity)
Koukaku Kidoutai: Stand Alone Complex 2nd GIGGhost in the Shell: Stand Alone Complex 2nd GIG,8.52,103189,122,1051,26,Finished Airing,"Jan 1, 2004 to Jan 8, 2005",Winter 2004,"['Bandai Visual', 'Dentsu', 'Victor Entertainment', 'Kodansha', 'Tokuma Shoten', 'Nippon Television Network']","Bandai Entertainment,       Manga Entertainment",Production I.G,Manga,25 min. per ep.,R - 17+ (violence & profanity)
Ousama RankingRanking of Kings,8.52,325086,123,336,23,Finished Airing,"Oct 15, 2021 to Mar 25, 2022",Fall 2021,"['Aniplex', 'Dentsu', 'Fuji TV', 'Kadokawa', 'Bandai Spirits']",Funimation,Wit Studio,Web manga,22 min. per ep.,PG-13 - Teens 13 or older
Sora yori mo Tooi BashoA Place Further Than The Universe,8.52,213154,120,437,13,Finished Airing,"Jan 2, 2018 to Mar 27, 2018",Winter 2018,"['Movic', 'AT-X', 'Sony Music Communications', 'Docomo Anime Store', 'Kadokawa Media House', 'Kadokawa', 'NewGin', 'Crunchyroll SC Anime Fund']","None found, add some",Madhouse,Original,23 min. per ep.,PG-13 - Teens 13 or older
Gintama Movie 1: Shinyaku Benizakura-henGintama: The Movie,8.52,93905,118,1408,1,Finished Airing,"Apr 24, 2010",,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Bandai', 'Warner Bros. Japan', 'Shueisha']",Sentai Filmworks,Sunrise,Manga,1 hr. 35 min.,R - 17+ (violence & profanity)
Gintama.: Porori-henGintama.: Slip Arc,8.52,100580,119,1174,13,Finished Airing,"Oct 2, 2017 to Dec 25, 2017",Fall 2017,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']","None found, add some",Bandai Namco Pictures,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Hotaru no HakaGrave of the Fireflies,8.51,394063,126,300,1,Finished Airing,"Apr 16, 1988",,['add some'],"ADV Films,       Central Park Media,       Sentai Filmworks",Studio Ghibli,Novel,1 hr. 28 min.,PG-13 - Teens 13 or older
Samurai Champloo,8.51,628131,124,108,26,Finished Airing,"May 20, 2004 to Mar 19, 2005",Spring 2004,"['Victor Entertainment', 'Fuji TV', 'Barnum Studio', 'Tokuma Shoten', 'flying DOG']","Funimation,       Geneon Entertainment USA",Manglobe,Original,24 min. per ep.,R - 17+ (violence & profanity)
Shingeki no Kyojin Season 2Attack on Titan Season 2,8.51,1827335,125,12,12,Finished Airing,"Apr 1, 2017 to Jun 17, 2017",Spring 2017,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprises']",Funimation,Wit Studio,Manga,24 min. per ep.,R - 17+ (violence & profanity)
One Punch Man,8.50,2194048,128,4,12,Finished Airing,"Oct 5, 2015 to Dec 21, 2015",Fall 2015,"['TV Tokyo', 'Bandai Visual', 'Lantis', 'Asatsu DK', 'Banpresto', 'Good Smile Company', 'Shueisha', 'JR East Marketing & Communications']",VIZ Media,Madhouse,Web manga,24 min. per ep.,R - 17+ (violence & profanity)
JoJo no Kimyou na Bouken Part 4: Diamond wa KudakenaiJoJo's Bizarre Adventure: Diamond is Unbreakable,8.50,758007,127,132,39,Finished Airing,"Apr 2, 2016 to Dec 24, 2016",Spring 2016,['Warner Bros. Japan'],VIZ Media,David Production,Manga,23 min. per ep.,R - 17+ (violence & profanity)
Yakusoku no NeverlandThe Promised Neverland,8.50,1261993,129,38,12,Finished Airing,"Jan 10, 2019 to Mar 29, 2019",Winter 2019,"['Aniplex', 'Dentsu', 'Fuji TV', 'Shueisha', 'CA-Cygames Anime Fund']",Aniplex of America,CloverWorks,Manga,22 min. per ep.,R - 17+ (violence & profanity)
Summertime RenderSummer Time Rendering,8.49,201553,130,435,25,Finished Airing,"Apr 15, 2022 to Sep 30, 2022",Spring 2022,"['Shogakukan-Shueisha Productions', 'Movic', 'MAGES.', 'Tokyo MX', 'Shueisha', ""Toy's Factory"", 'Bandai Spirits']","None found, add some",OLM,Manga,23 min. per ep.,R - 17+ (violence & profanity)
Uchuu KyoudaiSpace Brothers,8.49,52121,131,1211,99,Finished Airing,"Apr 1, 2012 to Mar 22, 2014",Spring 2012,"['Yomiuri Telecasting', 'Trinity Sound']",Sentai Filmworks,A-1 Pictures,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Mob Psycho 100,8.49,1246395,134,31,12,Finished Airing,"Jul 11, 2016 to Sep 27, 2016",Summer 2016,"['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']","Funimation,       Crunchyroll",Bones,Web manga,24 min. per ep.,PG-13 - Teens 13 or older
Ansatsu Kyoushitsu 2nd SeasonAssassination Classroom Second Season,8.49,875355,132,85,25,Finished Airing,"Jan 8, 2016 to Jul 1, 2016",Winter 2016,"['Dentsu', 'Studio Hibari', 'Fuji TV', 'DAX Production', 'Avex Pictures', 'Shueisha', 'Kansai Telecasting']",Funimation,Lerche,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Fate/stay night Movie: Heaven's Feel - II. Lost ButterflyFate/stay night: Heaven's Feel - II. Lost Butterfly,8.49,223199,133,595,1,Finished Airing,"Jan 12, 2019",,"['Aniplex', 'Notes', 'Kadokawa']",Aniplex of America,ufotable,Visual novel,1 hr. 57 min.,R - 17+ (violence & profanity)
Aria the Origination,8.48,31581,139,1705,13,Finished Airing,"Jan 8, 2008 to Apr 1, 2008",Winter 2008,"['Production I.G', 'TV Tokyo', 'Media Factory', 'Shochiku', 'Mag Garden']",Nozomi Entertainment,HAL Film Maker,Manga,24 min. per ep.,G - All Ages
Karakai Jouzu no Takagi-san MovieTeasing Master Takagi-san: The Movie,8.48,29053,135,2553,1,Finished Airing,"Jun 10, 2022",,['TOHO animation'],Sentai Filmworks,Shin-Ei Animation,Manga,1 hr. 13 min.,PG-13 - Teens 13 or older
Kimetsu no YaibaDemon Slayer: Kimetsu no Yaiba,8.48,2036434,136,7,26,Finished Airing,"Apr 6, 2019 to Sep 28, 2019",Spring 2019,"['Aniplex', 'Shueisha']",Aniplex of America,ufotable,Manga,23 min. per ep.,R - 17+ (violence & profanity)
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no MonogatariPuella Magi Madoka Magica the Movie: Rebellion,8.48,222115,137,611,1,Finished Airing,"Oct 26, 2013",,"['Aniplex', 'Mainichi Broadcasting System', 'Movic', 'Nitroplus', 'Houbunsha']",Aniplex of America,Shaft,Original,1 hr. 56 min.,PG-13 - Teens 13 or older
Shiguang Dailiren IILink Click Season 2,8.48,31780,138,2079,12,Finished Airing,"Jul 14, 2023 to Sep 22, 2023",,"['bilibili', 'BeDream']","None found, add some",LAN Studio,Original,24 min. per ep.,R - 17+ (violence & profanity)
Rainbow: Nisha Rokubou no ShichininRainbow,8.47,155266,143,576,26,Finished Airing,"Apr 7, 2010 to Sep 29, 2010",Spring 2010,"['VAP', 'Nippon Television Network']","Funimation,       Discotek Media",Madhouse,Manga,22 min. per ep.,R - 17+ (violence & profanity)
Banana Fish,8.47,363770,140,203,24,Finished Airing,"Jul 6, 2018 to Dec 21, 2018",Summer 2018,"['Aniplex', 'Dentsu', 'Movic', 'Fuji TV', 'Shogakukan']","None found, add some",MAPPA,Manga,22 min. per ep.,R - 17+ (violence & profanity)
Gintama: The Semi-Final,8.47,37482,141,2421,2,Finished Airing,"Jan 15, 2021 to Jan 20, 2021",,['add some'],"None found, add some",Bandai Namco Pictures,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Kage no Jitsuryokusha ni Naritakute! 2nd SeasonThe Eminence in Shadow Season 2,8.47,121517,142,825,12,Finished Airing,"Oct 4, 2023 to Dec 20, 2023",Fall 2023,"['AT-X', 'Magic Capsule', 'BS NTV', 'Kadokawa', 'NewGin', 'Aiming']",Sentai Filmworks,Nexus,Light novel,23 min. per ep.,R - 17+ (violence & profanity)
Chihayafuru 3,8.46,61134,147,1596,24,Finished Airing,"Oct 23, 2019 to Mar 25, 2020",Fall 2019,"['Kodansha', 'Nippon Television Network', 'TC Entertainment', 'Nippon Television Music', 'FBC']",Sentai Filmworks,Madhouse,Manga,22 min. per ep.,PG-13 - Teens 13 or older
Jujutsu Kaisen 0 MovieJujutsu Kaisen 0,8.46,499036,148,195,1,Finished Airing,"Dec 24, 2021",,"['Mainichi Broadcasting System', 'TOHO animation', 'Shueisha', 'Sumzap']",Crunchyroll,MAPPA,Manga,1 hr. 44 min.,R - 17+ (violence & profanity)
Yuu☆Yuu☆HakushoYu Yu Hakusho: Ghost Files,8.46,325007,146,294,112,Finished Airing,"Oct 10, 1992 to Jan 7, 1995",Fall 1992,"['Yomiko Advertising', 'Fuji TV']",Funimation,Pierrot,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Mo Dao Zu Shi: Wanjie PianThe Founder of Diabolism Season 3,8.46,26058,144,2377,12,Finished Airing,"Aug 7, 2021 to Oct 16, 2021",,['Tencent Penguin Pictures'],"None found, add some",B.CMAY PICTURES,Web novel,24 min. per ep.,R - 17+ (violence & profanity)
NichijouNichijou - My Ordinary Life,8.46,361568,145,187,26,Finished Airing,"Apr 3, 2011 to Sep 25, 2011",Spring 2011,"['Lantis', 'Kadokawa Shoten', 'Movic', 'Rakuonsha', 'Kadokawa Pictures Japan', 'KlockWorx', 'Animation Do']","Funimation,       Bandai Entertainment",Kyoto Animation,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Owarimonogatari,8.45,231661,151,464,12,Finished Airing,"Oct 4, 2015 to Dec 20, 2015",Fall 2015,['Aniplex'],Aniplex of America,Shaft,Light novel,26 min. per ep.,R - 17+ (violence & profanity)
Bungou Stray Dogs 4th SeasonBungo Stray Dogs 4,8.45,96583,149,875,13,Finished Airing,"Jan 4, 2023 to Mar 29, 2023",Winter 2023,"['WOWOW', 'Lantis', 'Movic', 'Glovision', 'Crunchyroll', 'Kadokawa', 'Sony Music Solutions', 'Bandai Namco Music Live']","None found, add some",Bones,Manga,23 min. per ep.,R - 17+ (violence & profanity)
Golden Kamuy 3rd SeasonGolden Kamuy Season 3,8.45,79852,150,1396,12,Finished Airing,"Oct 5, 2020 to Dec 21, 2020",Fall 2020,"['Magic Capsule', 'NBCUniversal Entertainment Japan', 'Twin Engine']",Funimation,Geno Studio,Manga,23 min. per ep.,R - 17+ (violence & profanity)
Steins;Gate Movie: Fuka Ryouiki no Déjà vuSteins;Gate: The Movie - Load Region of Déjà Vu,8.45,351015,152,360,1,Finished Airing,"Apr 20, 2013",,"['Frontier Works', 'Media Factory', 'Movic', 'AT-X', 'Kadokawa Pictures Japan', 'MAGES.']",Funimation,White Fox,Visual novel,1 hr. 30 min.,PG-13 - Teens 13 or older
Yuru Camp△ MovieLaid-Back Camp: The Movie,8.44,22024,153,2447,1,Finished Airing,"Jul 1, 2022",,['DeNA'],"None found, add some",C-Station,Manga,2 hr.,PG-13 - Teens 13 or older
Zoku Owarimonogatari,8.44,104786,154,1064,6,Finished Airing,"May 19, 2019 to Jun 23, 2019",Spring 2019,"['Aniplex', 'Kodansha']",Aniplex of America,Shaft,Light novel,28 min. per ep.,R - 17+ (violence & profanity)
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai DensetsuKonoSuba: God's Blessing on This Wonderful World! - Legend of Crimson,8.44,477337,157,245,1,Finished Airing,"Aug 30, 2019",,"['Nippon Columbia', 'Toranoana', 'MAGES.', '81 Produce', 'Sammy', 'Kadokawa Media House', 'Kadokawa', 'Sony Music Solutions']","None found, add some",J.C.Staff,Light novel,1 hr. 30 min.,PG-13 - Teens 13 or older
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2Re:ZERO -Starting Life in Another World- Season 2 Part 2,8.44,501609,158,194,12,Finished Airing,"Jan 6, 2021 to Mar 24, 2021",Winter 2021,"['AT-X', 'Memory-Tech', 'Hakuhodo DY Music & Pictures', 'Kadokawa Media House', 'Kadokawa']","None found, add some",White Fox,Light novel,29 min. per ep.,R - 17+ (violence & profanity)
Haikyuu!!Haikyu!!,8.44,1201639,155,37,25,Finished Airing,"Apr 6, 2014 to Sep 21, 2014",Spring 2014,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'TOHO animation', 'Shueisha', 'Spacey Music Entertainment']",Sentai Filmworks,Production I.G,Manga,24 min. per ep.,PG-13 - Teens 13 or older
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd SeasonJoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt,8.44,774338,156,133,24,Finished Airing,"Jan 10, 2015 to Jun 20, 2015",Winter 2015,"['Yomiko Advertising', 'Warner Bros. Japan', 'KlockWorx', 'Medicos Entertainment', 'Shueisha']",VIZ Media,David Production,Manga,23 min. per ep.,R - 17+ (violence & profanity)
Gintama: Yorinuki Gintama-san on Theater 2D,8.43,16745,160,3261,2,Finished Airing,"Aug 26, 2012",,['add some'],"None found, add some",Sunrise,Manga,1 hr. 36 min. per ep.,PG-13 - Teens 13 or older
Grand BlueGrand Blue Dreaming,8.43,408906,161,241,12,Finished Airing,"Jul 14, 2018 to Sep 29, 2018",Summer 2018,"['Mainichi Broadcasting System', 'Kodansha', 'NBCUniversal Entertainment Japan', 'Avex Pictures', 'Q-Tec', 'JR East Marketing & Communications', 'GYAO!']","None found, add some",Zero-G,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Mushishi Zoku Shou: Odoro no MichiMushishi Path of Thorns,8.43,48846,159,2031,1,Finished Airing,"Aug 20, 2014",,"['Aniplex', 'Kodansha', 'Delfi Sound']",Aniplex of America,Artland,Manga,47 min.,PG-13 - Teens 13 or older
Kono Oto Tomare! Part 2Kono Oto Tomare!: Sounds of Life Season 2,8.42,91586,163,1337,13,Finished Airing,"Oct 6, 2019 to Dec 29, 2019",Fall 2019,"['WOWOW', 'Movic', 'KlockWorx', 'Memory-Tech', 'King Records', 'Shueisha', 'Pony Canyon Enterprises']",Funimation,Platinum Vision,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Koukaku Kidoutai: Stand Alone ComplexGhost in the Shell: Stand Alone Complex,8.42,162902,164,568,26,Finished Airing,"Oct 1, 2002 to Oct 1, 2003",Fall 2002,"['Bandai Visual', 'Dentsu', 'Victor Entertainment', 'Animax', 'Kodansha', 'Trilogy Future Studio', 'Tokuma Shoten', 'Nippon Television Network']","Bandai Entertainment,       Manga Entertainment",Production I.G,Manga,25 min. per ep.,R - 17+ (violence & profanity)
Mononoke,8.42,91565,165,725,12,Finished Airing,"Jul 13, 2007 to Sep 28, 2007",Summer 2007,"['Dentsu', 'SKY Perfect Well Think', 'Fuji TV', 'Asmik Ace', 'Sony Music Entertainment']",Discotek Media,Toei Animation,Original,22 min. per ep.,R - 17+ (violence & profanity)
